Time (s),X (m),Y (m),Velocity (m/s),Acceleration (g),Mass (kg),Thrust (N),Drag (custom),Comment
1.96,0,197.468536038,95.4477906663,-0.668057489451,1.4968536,0.0,-9.80984557188,
1.97,0,198.422358581,95.3822542259,-0.668057503878,1.4968536,0.0,-9.80984578373,
1.98,0,199.375525758,95.3167177841,-0.668057518295,1.4968536,0.0,-9.80984599543,
1.99,0,200.328037572,95.2511813408,-0.668057532702,1.4968536,0.0,-9.80984620699,
2.0,0,201.279894021,95.1856448961,-0.6680575471,1.4968536,0.0,-9.8098464184,
2.01,0,202.231095105,95.1201084501,-0.668057561487,1.4968536,0.0,-9.80984662967,
2.02,0,203.181640825,95.0545720026,-0.668057575865,1.4968536,0.0,-9.80984684079,
2.03,0,204.131531181,94.9890355537,-0.668057590232,1.4968536,0.0,-9.80984705177,
2.04,0,205.080766172,94.9234991034,-0.66805760459,1.4968536,0.0,-9.8098472626,
2.05,0,206.029345798,94.8579626517,-0.668057618938,1.4968536,0.0,-9.80984747328,
2.06,0,206.97727006,94.7924261985,-0.668057633276,1.4968536,0.0,-9.80984768382,
2.07,0,207.924538958,94.726889744,-0.668057647604,1.4968536,0.0,-9.80984789422,
2.08,0,208.871152491,94.6613532881,-0.668057661922,1.4968536,0.0,-9.80984810447,
2.09,0,209.817110659,94.5958168307,-0.66805767623,1.4968536,0.0,-9.80984831457,
2.1,0,210.762413463,94.530280372,-0.668057690529,1.4968536,0.0,-9.80984852453,
2.11,0,211.707060902,94.4647439119,-0.668057704817,1.4968536,0.0,-9.80984873434,
2.12,0,212.651052976,94.3992074503,-0.668057719096,1.4968536,0.0,-9.80984894401,
2.13,0,213.594389686,94.3336709874,-0.668057733364,1.4968536,0.0,-9.80984915353,
2.14,0,214.537071031,94.268134523,-0.668057747623,1.4968536,0.0,-9.80984936291,
2.15,0,215.479097012,94.2025980573,-0.668057761872,1.4968536,0.0,-9.80984957214,
2.16,0,216.420467628,94.1370615901,-0.668057776111,1.4968536,0.0,-9.80984978123,
2.17,0,217.361182879,94.0715251216,-0.66805779034,1.4968536,0.0,-9.80984999017,
2.18,0,218.301242766,94.0059886517,-0.668057804559,1.4968536,0.0,-9.80985019896,
2.19,0,219.240647287,93.9404521819,-0.668057786856,1.4968536,0.0,-9.80984993902,
2.2,0,220.179396445,93.8749157123,-0.6680578011,1.4968536,0.0,-9.80985014817,
2.21,0,221.117490237,93.8093792414,-0.668057815334,1.4968536,0.0,-9.80985035719,
2.22,0,222.054928665,93.743842769,-0.668057829558,1.4968536,0.0,-9.80985056605,
